score	content	date	label	app	pred_label
5	야놀자해	2022-08-13	1	yanolja	1
5	Good!	2022-10-09	1	yanolja	1
5	여러모로 편리함 ㅎ	2021-02-20	1	yanolja	1
5	타 앱과 비교하니 모텔의 가격대가 더 싼듯 합니다	2020-02-16	1	yanolja	1
5	편리한 사용성이 좋고, 개발자들 고생 많으십니다.	2022-09-19	1	yanolja	1
5	깨끗하고 사장님이 친절하세요.	2023-07-18	1	yanolja	1
5	얩 사요미 정말쉽고 편해요	2024-07-11	1	yanolja	1
5	좋아요	2024-07-31	1	yanolja	1
5	간편하고좋아요	2022-02-27	1	yanolja	1
5	좋네요	2020-07-28	1	yanolja	1
5	할인도 많고 좋아요	2023-07-27	1	yanolja	1
5	가까운 숙소나 저렴한 숙소 찾기에 좋은 어플이네요~~	2023-09-09	1	yanolja	1
5	편하게 예약했어요	2023-01-28	1	yanolja	1
5	깔끔하고 친절하고 편합닏다	2023-07-03	1	yanolja	1
5	굿~~~~~~~~~~	2022-03-09	1	yanolja	1
5	좋아요	2024-02-14	1	yanolja	1
5	좋네요 할인도 받고 간편하게 예약도 하고	2020-01-17	1	yanolja	1
5	좋아요	2021-05-02	1	yanolja	1
5	보기편해용 좋음	2020-07-07	1	yanolja	1
5	좋아요	2022-01-16	1	yanolja	1
5	정말좋아ㅇ요	2022-01-18	1	yanolja	1
4	편~안 한 여행을 도와주는 앱!	2021-05-23	1	yanolja	1
5	한눈에 숙소정보를 알수있어 너무 좋습니다	2023-02-04	1	yanolja	1
5	펜션고르기 편하고 선택장애 있는분들에게 강추합니다.	2020-10-17	1	yanolja	1
5	굿♡	2024-08-08	1	yanolja	1
5	좋아요~	2020-02-11	1	yanolja	1
4	깔끔합니다	2022-08-25	1	yanolja	1
4	좋아요	2022-10-04	1	yanolja	1
5	좋아요	2023-01-20	1	yanolja	1
5	굿	2022-11-29	1	yanolja	1
5	간편하고편리해요	2024-02-04	1	yanolja	1
4	좋아요	2020-01-16	1	yanolja	1
